ANNOT_ID,Q_ID,NONSENSE,SENTS_INDICES,N_SENTS,SKILLS,SKILL_COUNTS,Q_STR_2
4_Alzheimer_1,1,False,"[[984, 1030]]",1,3,"[2, 11, 6]",For what purpose were some mice injecte
4_Alzheimer_1,1,False,"[[984, 1030]]",1,3,"[2, 11, 6]",For what purpose were some mice injecte
4_Alzheimer_1,1,False,"[[984, 1030]]",1,3,"[2, 11, 6]",For what purpose were some mice injecte
4_Alzheimer_1,1,False,"[[984, 1030]]",1,3,"[2, 11, 6]",For what purpose were some mice injecte
4_Alzheimer_1,1,False,"[[984, 1030]]",1,3,"[2, 11, 6]",For what purpose were some mice injecte
4_Alzheimer_1,2,False,"[[11, 35]]",1,2,"[9, 11]",How many people affected by Alzheimer's
4_Alzheimer_1,2,False,"[[11, 35]]",1,2,"[9, 11]",How many people affected by Alzheimer's
4_Alzheimer_1,2,False,"[[11, 35]]",1,2,"[9, 11]",How many people affected by Alzheimer's
4_Alzheimer_1,2,False,"[[11, 35]]",1,2,"[9, 11]",How many people affected by Alzheimer's
4_Alzheimer_1,2,False,"[[11, 35]]",1,2,"[9, 11]",How many people affected by Alzheimer's
4_Alzheimer_1,3,False,"[[739, 762]]",1,3,"[9, 11, 6]",How can Alzheimer's patien
4_Alzheimer_1,3,False,"[[739, 762]]",1,3,"[9, 11, 6]",How can Alzheimer's patien
4_Alzheimer_1,3,False,"[[739, 762]]",1,3,"[9, 11, 6]",How can Alzheimer's patien
4_Alzheimer_1,3,False,"[[739, 762]]",1,3,"[9, 11, 6]",How can Alzheimer's patien
4_Alzheimer_1,3,False,"[[739, 762]]",1,3,"[9, 11, 6]",How can Alzheimer's patien
4_Alzheimer_1,6,False,"[[642, 672]]",1,2,"[2, 11]",How long after taking bexarotene is it
4_Alzheimer_1,6,False,"[[642, 672]]",1,2,"[2, 11]",How long after taking bexarotene is it
4_Alzheimer_1,6,False,"[[642, 672]]",1,2,"[2, 11]",How long after taking bexarotene is it
4_Alzheimer_1,6,False,"[[642, 672]]",1,2,"[2, 11]",How long after taking bexarotene is it
4_Alzheimer_1,6,False,"[[642, 672]]",1,2,"[2, 11]",How long after taking bexarotene is it
4_Alzheimer_1,8,False,"[[739, 868], [1030, 1061]]",2,3,"[8, 11, 3]",Why cannot bexarotene be used 
4_Alzheimer_1,8,False,"[[739, 868], [1030, 1061]]",2,3,"[8, 11, 3]",Why cannot bexarotene be used 
4_Alzheimer_1,8,False,"[[739, 868], [1030, 1061]]",2,3,"[8, 11, 3]",Why cannot bexarotene be used 
4_Alzheimer_1,8,False,"[[739, 868], [1030, 1061]]",2,3,"[8, 11, 3]",Why cannot bexarotene be used 
4_Alzheimer_1,8,False,"[[739, 868], [1030, 1061]]",2,3,"[8, 11, 3]",Why cannot bexarotene be used 
4_Alzheimer_1,10,True,"[[739, 856]]",1,0,[14],Can proteins and amyloids expla
4_Alzheimer_1,10,True,"[[739, 856]]",1,0,[14],Can proteins and amyloids expla
4_Alzheimer_1,10,True,"[[739, 856]]",1,0,[14],Can proteins and amyloids expla
4_Alzheimer_1,10,True,"[[739, 856]]",1,0,[14],Can proteins and amyloids expla
4_Alzheimer_1,10,True,"[[739, 856]]",1,0,[14],Can proteins and amyloids expla
4_Alzheimer_1,11,False,"[[528, 590]]",1,4,"[8, 9, 11, 12]",What is the aim of giving Targretin
4_Alzheimer_1,11,False,"[[528, 590]]",1,4,"[8, 9, 11, 12]",What is the aim of giving Targretin
4_Alzheimer_1,11,False,"[[528, 590]]",1,4,"[8, 9, 11, 12]",What is the aim of giving Targretin
4_Alzheimer_1,11,False,"[[528, 590]]",1,4,"[8, 9, 11, 12]",What is the aim of giving Targretin
4_Alzheimer_1,11,False,"[[528, 590]]",1,4,"[8, 9, 11, 12]",What is the aim of giving Targretin
4_Alzheimer_1,13,True,"[[778, 794]]",1,0,[14],Why can vitamin D cause the br
4_Alzheimer_1,13,True,"[[778, 794]]",1,0,[14],Why can vitamin D cause the br
4_Alzheimer_1,13,True,"[[778, 794]]",1,0,[14],Why can vitamin D cause the br
4_Alzheimer_1,13,True,"[[778, 794]]",1,0,[14],Why can vitamin D cause the br
4_Alzheimer_1,13,True,"[[778, 794]]",1,0,[14],Why can vitamin D cause the br
4_Alzheimer_1,14,False,"[[157, 166]]",1,0,[13],What is a common characteristic 
4_Alzheimer_1,14,False,"[[157, 166]]",1,0,[13],What is a common characteristic 
4_Alzheimer_1,14,False,"[[157, 166]]",1,0,[13],What is a common characteristic 
4_Alzheimer_1,14,False,"[[157, 166]]",1,0,[13],What is a common characteristic 
4_Alzheimer_1,14,False,"[[157, 166]]",1,0,[13],What is a common characteristic 
4_Alzheimer_1,15,False,"[[868, 953]]",1,2,"[11, 3]",How do vitamin D an
4_Alzheimer_1,15,False,"[[868, 953]]",1,2,"[11, 3]",How do vitamin D an
4_Alzheimer_1,15,False,"[[868, 953]]",1,2,"[11, 3]",How do vitamin D an
4_Alzheimer_1,15,False,"[[868, 953]]",1,2,"[11, 3]",How do vitamin D an
4_Alzheimer_1,15,False,"[[868, 953]]",1,2,"[11, 3]",How do vitamin D an
4_Alzheimer_2,2,True,"[[451, 452]]",1,0,[14],Is it possible for scientist
4_Alzheimer_2,2,True,"[[451, 452]]",1,0,[14],Is it possible for scientist
