SUM of Fluency,WorkerId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,,A11GWWAXRJQ6Y2,A14W0AXTJ3R19V,A15A09BRS1Q8W0,A1CSDIX05PK9V,A1DVKS3R9SLQ1H,A1F1BIPJR11LSR,A1FGKIKJYSL1MI,A1GKEEI844CEKI,A1IZ4NX41GKU4X,A1MIR0TP081SKT,A1NGXQMOBCXDC3,A1NOINYD1FZ55T,A1UH396UOK0X9Z,A1V2H0UF94ATWY,A21AVVEQUEX7DA,A28A3HF3LSEIDT,A2QD7QFGCUNF5N,A2RR3R75ECQSKE,A2SBISQJE2ZPJQ,A2V3P1XE33NYC3,A2VE5IV9OD2SK1,A2WTDVHVVORNDU,A2YYQJ3JWA2KGD,A3862RIFFUV141,A3C3RLZKKHH1FC,A3DZ46U9XRLVBI,A3N7R7P9HP2YB6,A3NHMKVK98NY7I,A3SKEW89V5S0DI,A3U21PUMQ6NGT2,A4W9APAHFWVLO,A5LYLHG880ABE,AE03LUY7RH400,AHV4U78TUUDKI,AOUMYCLO4I993,AQD91RFHV1WNE,AUOYNTK0GOFOM,AW0K78T4I2T72,Grand Total
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,4,,,5,17
2,,,5,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,16
3,,,,,,,,,4,,,,,,,4,4,,,,,,,,,,,,3,,,,,,,,,,,15
4,,,,,,,1,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,12
5,,3,,,4,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,15
6,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,20
7,,,,,,,3,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,14
8,,,,4,,,,,,5,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,16
9,,,,2,,,,,,2,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,14
10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,2,,,3,12
11,,3,,,,,2,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,12
12,,,,,,,,4,,,,5,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,12
13,,,,5,,,,,,,,5,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,17
14,,,,5,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,20
15,,2,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,12
16,,,,4,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,19
17,,,,2,,,,,,1,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,10
18,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,2,,,2,13
19,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,4,,,5,17
20,,,,,,,5,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,1,,,14
21,,,,3,,,,,,5,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,16
22,,,,,,,5,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,3,,,15
23,,,,,,,,4,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,19
24,,2,,,4,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,13
25,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,3,,,,,2,,11
26,,,,3,,,,,,4,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,16
27,,3,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,12
28,,,,5,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20
29,,,,5,,,,,,2,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,15
30,,2,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,12
31,,3,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,15
32,,,,,,,2,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,3,,,12
33,,,,4,,,,,,5,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,18
34,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
35,,,,3,,,,,,,5,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,18
36,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,20
37,,,,,,,2,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,3,,,13
38,,,,,,,1,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,2,,,11
39,,,,,,,,,4,,,,,,,4,4,,,,,,,,,3,,,,,,,,,,,,,,15
