SUM of Grammatical_Num,WorkerId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,,A11GWWAXRJQ6Y2,A14W0AXTJ3R19V,A15A09BRS1Q8W0,A1CSDIX05PK9V,A1DVKS3R9SLQ1H,A1F1BIPJR11LSR,A1FGKIKJYSL1MI,A1GKEEI844CEKI,A1IZ4NX41GKU4X,A1MIR0TP081SKT,A1NGXQMOBCXDC3,A1NOINYD1FZ55T,A1UH396UOK0X9Z,A1V2H0UF94ATWY,A21AVVEQUEX7DA,A28A3HF3LSEIDT,A2QD7QFGCUNF5N,A2RR3R75ECQSKE,A2SBISQJE2ZPJQ,A2V3P1XE33NYC3,A2VE5IV9OD2SK1,A2WTDVHVVORNDU,A2YYQJ3JWA2KGD,A3862RIFFUV141,A3C3RLZKKHH1FC,A3DZ46U9XRLVBI,A3N7R7P9HP2YB6,A3NHMKVK98NY7I,A3SKEW89V5S0DI,A3U21PUMQ6NGT2,A4W9APAHFWVLO,A5LYLHG880ABE,AE03LUY7RH400,AHV4U78TUUDKI,AOUMYCLO4I993,AQD91RFHV1WNE,AUOYNTK0GOFOM,AW0K78T4I2T72,Grand Total
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
2,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
3,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
4,,,,,,,0,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,3
5,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
6,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
7,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,4
8,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
9,,,,0,,,,,,0,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,1,2
11,,1,,,,,0,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3
12,,,,,,,,0,,,,1,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,2
13,,,,1,,,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,3
14,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
15,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
16,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
17,,,,0,,,,,,0,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1
18,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
19,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
20,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,0,,,3
21,,,,1,,,,,,0,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
22,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
23,,,,,,,,0,,,,1,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,2
24,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
25,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,0,,3
26,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
27,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,3
28,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
29,,,,1,,,,,,0,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3
30,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
31,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
32,,,,,,,0,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,3
33,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
34,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
35,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
36,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
37,,,,,,,0,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,3
38,,,,,,,0,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,3
39,,,,,,,,,1,,,,,,,0,1,,,,,,,,,1,,,,,,,,,,,,,,3
40,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
41,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
42,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
43,,,,,,,0,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,3
44,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
45,,1,,,,,0,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3
46,,,,0,,,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,2
47,,,,1,,,,,,0,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3
48,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
