HITId,HITTypeId,AssignmentId,WorkerId,WorkTimeInSeconds,Context,Input Number,Question,Answer,Clarity,Fluency,Grammatical,Present,Generated
34OWYT6U3WH8RUHPPZ2LAXZL3T6I9C,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,304SM51WA34IVLXCJXGXTPVJ31SSB2,A3IR7DFEKLLLO,229,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,"1,100",4,5,TRUE,TRUE,FALSE
34OWYT6U3WH8RUHPPZ2LAXZL3T6I9C,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,33PPUNGG3852C40FAMWVPXXQ82UZRQ,AM0JKZVOEOTMA,376,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,"1,100",5,5,TRUE,TRUE,FALSE
34OWYT6U3WH8RUHPPZ2LAXZL3T6I9C,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3W92K5RLWUHWYXX7CIUP1QFYS915VK,A3BI0AX5T5GVO3,145,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,"1,100",3,4,TRUE,TRUE,FALSE
34OWYT6U3WH8RUHPPZ2LAXZL3T6I9C,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3ZDAD0O1T1DQNODSDTD5SRIXONUXT5,A610SH5RY1NG1,172,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,"1,100",5,5,TRUE,TRUE,FALSE
341H3G5YF0ECQQIMP77EHH1IW2E0ZF,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,323Q6SJS8IGJITVCD5QU81F29O3FHM,A610SH5RY1NG1,111,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for the west side of fresno?,southwest fresno,5,5,TRUE,TRUE,TRUE
341H3G5YF0ECQQIMP77EHH1IW2E0ZF,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3A1PQ49WVHHSSE1466B9JZB88EKH1N,A8TIL9U6YHG5,213,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for the west side of fresno?,southwest fresno,5,5,TRUE,TRUE,TRUE
341H3G5YF0ECQQIMP77EHH1IW2E0ZF,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3A1PQ49WVHHSSE1466B9JZB88EL1H8,A3BI0AX5T5GVO3,121,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for the west side of fresno?,southwest fresno,3,4,TRUE,TRUE,TRUE
341H3G5YF0ECQQIMP77EHH1IW2E0ZF,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3RANCT1ZVFHYAYPG82BX8QD7OYDUBK,A2J2P9JE374XCM,384,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for the west side of fresno?,southwest fresno,5,5,TRUE,TRUE,TRUE
3BS6ERDL937410Z5ZEYYZQS6LNQD6U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3EJJQNKU9R5GLJ0L40QOPQTLCCHHRM,A1IZ4NX41GKU4X,246,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,robert maynard hutchins de-emphasized varsity athletics,1,1,FALSE,TRUE,FALSE
3BS6ERDL937410Z5ZEYYZQS6LNQD6U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3F6HPJW4JD0HEPEPK9XNPLV0F8BW2J,A3BI0AX5T5GVO3,197,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,robert maynard hutchins de-emphasized varsity athletics,5,4,TRUE,TRUE,FALSE
